('alpha', 'method')	 & 	AC_p	 & 	AC_u	 & 	SR_p	 & 	SR_u	 & 	FPR_p	 & 	FPR_u
(0.25, 'baseline')	 & 	95.7	 & 	95.9	 & 	21.1	 & 	21.4	 & 	03.3	 & 	03.3
(0.5, 'baseline')	 & 	94.8	 & 	95.2	 & 	49.6	 & 	50.1	 & 	11.7	 & 	12.0
(0.75, 'baseline')	 & 	95.8	 & 	96.2	 & 	78.8	 & 	78.4	 & 	24.9	 & 	23.1
(0.25, 'drop')	 & 	95.6	 & 	95.9	 & 	21.8	 & 	20.9	 & 	02.5	 & 	04.6
(0.5, 'drop')	 & 	94.8	 & 	95.5	 & 	49.7	 & 	49.9	 & 	08.4	 & 	17.4
(0.75, 'drop')	 & 	95.9	 & 	96.1	 & 	78.0	 & 	78.9	 & 	19.1	 & 	29.0
(0.25, 'simple_imputer.mean')	 & 	95.8	 & 	87.5	 & 	21.7	 & 	15.1	 & 	03.1	 & 	04.6
(0.5, 'simple_imputer.mean')	 & 	94.8	 & 	77.3	 & 	49.8	 & 	50.0	 & 	08.9	 & 	29.4
(0.75, 'simple_imputer.mean')	 & 	95.9	 & 	87.5	 & 	77.8	 & 	84.8	 & 	21.3	 & 	51.3
(0.25, 'iterative_imputer.mice')	 & 	95.8	 & 	87.5	 & 	21.7	 & 	15.1	 & 	03.1	 & 	04.6
(0.5, 'iterative_imputer.mice')	 & 	94.8	 & 	77.2	 & 	49.8	 & 	50.0	 & 	08.9	 & 	29.4
(0.75, 'iterative_imputer.mice')	 & 	95.9	 & 	87.5	 & 	77.8	 & 	84.8	 & 	21.3	 & 	51.3
(0.25, 'iterative_imputer.missForest')	 & 	95.7	 & 	85.4	 & 	21.2	 & 	15.8	 & 	02.2	 & 	06.3
(0.5, 'iterative_imputer.missForest')	 & 	94.8	 & 	77.4	 & 	49.8	 & 	50.2	 & 	08.0	 & 	31.6
(0.75, 'iterative_imputer.missForest')	 & 	95.9	 & 	85.5	 & 	78.4	 & 	83.8	 & 	20.3	 & 	53.8
(0.25, 'knn_imputer')	 & 	95.7	 & 	85.5	 & 	21.1	 & 	15.5	 & 	02.2	 & 	06.1
(0.5, 'knn_imputer')	 & 	94.8	 & 	77.5	 & 	49.7	 & 	50.3	 & 	07.9	 & 	31.7
(0.75, 'knn_imputer')	 & 	95.9	 & 	85.5	 & 	78.4	 & 	84.1	 & 	20.1	 & 	54.2
(0.25, 'group_imputer')	 & 	95.8	 & 	87.5	 & 	21.7	 & 	15.1	 & 	03.1	 & 	04.6
(0.5, 'group_imputer')	 & 	94.8	 & 	77.3	 & 	49.8	 & 	50.1	 & 	08.9	 & 	29.5
(0.75, 'group_imputer')	 & 	95.9	 & 	87.6	 & 	77.9	 & 	84.8	 & 	21.3	 & 	51.5
