('alpha', 'method')	 & 	AC_p	 & 	AC_u	 & 	SR_p	 & 	SR_u	 & 	FPR_p	 & 	FPR_u
(0.25, 'baseline')	 & 	99.3	 & 	99.1	 & 	26.1	 & 	23.8	 & 	01.5	 & 	00.1
(0.5, 'baseline')	 & 	99.0	 & 	99.1	 & 	51.4	 & 	48.5	 & 	03.0	 & 	00.2
(0.75, 'baseline')	 & 	99.3	 & 	99.2	 & 	76.4	 & 	74.0	 & 	06.0	 & 	00.6
(0.25, 'drop')	 & 	99.2	 & 	99.1	 & 	25.8	 & 	23.4	 & 	01.2	 & 	00.1
(0.5, 'drop')	 & 	99.0	 & 	99.1	 & 	51.1	 & 	48.2	 & 	02.6	 & 	00.1
(0.75, 'drop')	 & 	99.3	 & 	99.2	 & 	76.1	 & 	73.6	 & 	04.8	 & 	00.6
(0.25, 'simple_imputer.mean')	 & 	98.7	 & 	97.6	 & 	26.4	 & 	21.8	 & 	02.3	 & 	00.2
(0.5, 'simple_imputer.mean')	 & 	98.4	 & 	97.2	 & 	51.7	 & 	47.6	 & 	03.9	 & 	00.9
(0.75, 'simple_imputer.mean')	 & 	98.8	 & 	97.2	 & 	76.5	 & 	74.6	 & 	06.6	 & 	04.8
(0.25, 'iterative_imputer.mice')	 & 	99.0	 & 	97.7	 & 	26.5	 & 	23.1	 & 	02.2	 & 	00.5
(0.5, 'iterative_imputer.mice')	 & 	98.7	 & 	97.5	 & 	51.6	 & 	47.7	 & 	03.7	 & 	00.9
(0.75, 'iterative_imputer.mice')	 & 	99.0	 & 	98.0	 & 	76.4	 & 	73.6	 & 	06.3	 & 	02.7
(0.25, 'iterative_imputer.missForest')	 & 	98.9	 & 	97.4	 & 	26.4	 & 	22.9	 & 	02.1	 & 	00.7
(0.5, 'iterative_imputer.missForest')	 & 	98.5	 & 	96.9	 & 	51.5	 & 	47.2	 & 	03.7	 & 	01.2
(0.75, 'iterative_imputer.missForest')	 & 	99.0	 & 	97.3	 & 	76.3	 & 	73.1	 & 	06.3	 & 	03.2
(0.25, 'knn_imputer')	 & 	98.9	 & 	97.4	 & 	26.4	 & 	23.0	 & 	02.1	 & 	00.7
(0.5, 'knn_imputer')	 & 	98.5	 & 	97.0	 & 	51.5	 & 	47.2	 & 	03.7	 & 	01.1
(0.75, 'knn_imputer')	 & 	99.0	 & 	97.3	 & 	76.4	 & 	73.2	 & 	06.4	 & 	03.2
(0.25, 'group_imputer')	 & 	98.8	 & 	97.5	 & 	26.7	 & 	21.3	 & 	02.6	 & 	00.2
(0.5, 'group_imputer')	 & 	98.5	 & 	97.3	 & 	52.1	 & 	46.9	 & 	04.6	 & 	00.5
(0.75, 'group_imputer')	 & 	98.7	 & 	97.5	 & 	76.7	 & 	74.1	 & 	07.6	 & 	03.4
