alpha	 & 	method	 & 	$AC_p$	 & 	$AC_u$	 & 	$SR_p$	 & 	$SR_u$	 & 	$FPR_p$	 & 	$FPR_u$\\
0.25	 & 	baseline	 & 	96.0	 & 	95.9	 & 	21.0	 & 	28.4	 & 	00.7	 & 	05.8\\
0.25	 & 	drop	 & 	96.1	 & 	95.9	 & 	21.6	 & 	29.1	 & 	00.8	 & 	06.5\\
0.25	 & 	simple_imputer.mean	 & 	96.0	 & 	94.9	 & 	21.8	 & 	29.7	 & 	01.0	 & 	07.3\\
0.25	 & 	iterative_imputer.mice	 & 	96.0	 & 	95.6	 & 	21.6	 & 	29.2	 & 	00.8	 & 	06.6\\
0.25	 & 	iterative_imputer.missForest	 & 	96.1	 & 	95.8	 & 	21.1	 & 	28.7	 & 	00.7	 & 	06.2\\
0.25	 & 	knn_imputer	 & 	96.0	 & 	95.3	 & 	20.5	 & 	28.2	 & 	00.6	 & 	05.8\\
0.25	 & 	group_imputer	 & 	96.0	 & 	95.6	 & 	21.3	 & 	29.2	 & 	00.8	 & 	06.7\\
\midrule
0.5	 & 	baseline	 & 	95.5	 & 	95.1	 & 	45.8	 & 	54.4	 & 	01.9	 & 	10.6\\
0.5	 & 	drop	 & 	95.5	 & 	95.1	 & 	46.8	 & 	55.2	 & 	02.4	 & 	12.0\\
0.5	 & 	simple_imputer.mean	 & 	95.3	 & 	94.4	 & 	46.1	 & 	55.1	 & 	02.2	 & 	11.9\\
0.5	 & 	iterative_imputer.mice	 & 	95.5	 & 	95.1	 & 	45.9	 & 	54.5	 & 	02.0	 & 	10.8\\
0.5	 & 	iterative_imputer.missForest	 & 	95.4	 & 	94.9	 & 	45.9	 & 	54.6	 & 	02.1	 & 	11.0\\
0.5	 & 	knn_imputer	 & 	95.3	 & 	94.3	 & 	45.5	 & 	54.9	 & 	02.1	 & 	11.6\\
0.5	 & 	group_imputer	 & 	95.3	 & 	94.7	 & 	45.4	 & 	54.6	 & 	01.9	 & 	11.1\\
\midrule
0.75	 & 	baseline	 & 	96.1	 & 	96.2	 & 	72.1	 & 	78.9	 & 	04.2	 & 	17.3\\
0.75	 & 	drop	 & 	96.1	 & 	96.1	 & 	72.9	 & 	79.6	 & 	04.8	 & 	19.6\\
0.75	 & 	simple_imputer.mean	 & 	96.0	 & 	95.6	 & 	71.4	 & 	78.6	 & 	04.0	 & 	16.5\\
0.75	 & 	iterative_imputer.mice	 & 	96.1	 & 	96.2	 & 	71.4	 & 	78.4	 & 	03.8	 & 	15.8\\
0.75	 & 	iterative_imputer.missForest	 & 	96.2	 & 	95.8	 & 	71.8	 & 	78.8	 & 	04.2	 & 	17.2\\
0.75	 & 	knn_imputer	 & 	96.1	 & 	95.4	 & 	72.1	 & 	79.4	 & 	04.8	 & 	19.3\\
0.75	 & 	group_imputer	 & 	96.2	 & 	95.7	 & 	71.0	 & 	78.3	 & 	03.6	 & 	15.6\\
\midrule
