alpha	 & 	method	 & 	$AC_p$	 & 	$AC_u$	 & 	$SR_p$	 & 	$SR_u$	 & 	$FPR_p$	 & 	$FPR_u$\\
0.25	 & 	baseline	 & 	96.0	 & 	95.9	 & 	24.6	 & 	24.9	 & 	02.3	 & 	02.6\\
0.25	 & 	drop	 & 	96.1	 & 	95.8	 & 	24.4	 & 	24.8	 & 	02.3	 & 	02.6\\
0.25	 & 	simple_imputer.mean	 & 	94.8	 & 	91.4	 & 	24.2	 & 	21.0	 & 	02.9	 & 	03.1\\
0.25	 & 	iterative_imputer.mice	 & 	95.2	 & 	92.2	 & 	24.8	 & 	24.4	 & 	03.0	 & 	04.9\\
0.25	 & 	iterative_imputer.missForest	 & 	94.8	 & 	91.3	 & 	24.8	 & 	24.5	 & 	03.3	 & 	05.4\\
0.25	 & 	knn_imputer	 & 	94.6	 & 	90.6	 & 	24.3	 & 	24.9	 & 	03.3	 & 	06.2\\
0.25	 & 	group_imputer	 & 	94.8	 & 	91.4	 & 	24.2	 & 	21.0	 & 	02.9	 & 	03.1\\
\midrule
0.5	 & 	baseline	 & 	95.5	 & 	95.1	 & 	50.0	 & 	50.3	 & 	04.5	 & 	05.2\\
0.5	 & 	drop	 & 	95.4	 & 	95.2	 & 	49.9	 & 	50.4	 & 	04.5	 & 	05.2\\
0.5	 & 	simple_imputer.mean	 & 	94.0	 & 	90.6	 & 	49.8	 & 	50.4	 & 	05.9	 & 	09.7\\
0.5	 & 	iterative_imputer.mice	 & 	94.2	 & 	90.8	 & 	49.8	 & 	50.5	 & 	05.7	 & 	09.7\\
0.5	 & 	iterative_imputer.missForest	 & 	93.9	 & 	89.5	 & 	49.9	 & 	50.6	 & 	06.1	 & 	11.1\\
0.5	 & 	knn_imputer	 & 	93.6	 & 	88.5	 & 	49.8	 & 	50.2	 & 	06.3	 & 	11.7\\
0.5	 & 	group_imputer	 & 	94.0	 & 	90.6	 & 	49.9	 & 	50.2	 & 	06.0	 & 	09.5\\
\midrule
0.75	 & 	baseline	 & 	96.1	 & 	96.2	 & 	75.5	 & 	75.5	 & 	08.6	 & 	08.8\\
0.75	 & 	drop	 & 	96.1	 & 	96.4	 & 	75.5	 & 	75.4	 & 	08.6	 & 	08.0\\
0.75	 & 	simple_imputer.mean	 & 	95.1	 & 	91.9	 & 	75.7	 & 	79.3	 & 	11.4	 & 	24.6\\
0.75	 & 	iterative_imputer.mice	 & 	95.3	 & 	92.6	 & 	75.0	 & 	76.5	 & 	09.6	 & 	17.6\\
0.75	 & 	iterative_imputer.missForest	 & 	95.0	 & 	91.6	 & 	75.2	 & 	75.9	 & 	10.6	 & 	18.7\\
0.75	 & 	knn_imputer	 & 	94.9	 & 	90.8	 & 	75.5	 & 	75.9	 & 	11.8	 & 	20.2\\
0.75	 & 	group_imputer	 & 	95.0	 & 	92.0	 & 	75.7	 & 	79.2	 & 	11.6	 & 	24.4\\
\midrule
